value_eur_mn,age,height_cm,weight_kg,club_country,club_playing_status,club_contract_valid_until_year,work_rate_attack_defense,body_type,position,overall,pace,shooting,passing,dribbling,defending,physic,skill_moves
2.4,26,175,75,England,substitute,2026,Medium/High,Normal,Midfield,71,66,64,67,72,67,70,3
2.5,25,175,70,France,substitute,2026,High/Low,Normal,Midfield,71,78,71,66,72,57,70,3
2.5,26,191,93,England,starting_xi,2024,Medium/Medium,Unique,Forward,71,63,70,65,67,38,84,3
2.2,25,190,75,England,bench,2025,Low/Medium,Normal,Defender,71,56,37,55,60,72,72,2
2.5,25,181,72,Germany,starting_xi,2026,Medium/Low,Normal,Midfield,71,55,70,76,74,47,61,3
2.3,25,184,76,Spain,substitute,2026,High/Medium,Lean,Defender,71,72,42,61,64,70,72,2
2.5,25,183,78,Germany,substitute,2025,High/High,Normal,Midfield,71,74,68,68,73,51,69,3
2.3,26,183,78,France,starting_xi,2026,High/Medium,Normal,Defender,71,77,53,64,69,65,71,2
2.2,27,181,80,France,starting_xi,2024,Medium/High,Normal,Midfield,71,59,54,65,68,68,81,2
2.5,25,178,78,France,substitute,2025,High/Low,Normal,Midfield,71,81,62,65,75,52,70,4
2.5,26,170,70,Germany,substitute,2024,Medium/Medium,Stocky,Forward,71,90,67,63,77,37,70,4
2.5,25,186,78,England,substitute,2026,High/Medium,Normal,Forward,71,68,66,68,73,61,71,3
2.3,23,188,89,Germany,starting_xi,2025,Medium/High,Normal,Midfield,71,59,44,56,60,71,84,2
2.4,24,170,62,France,substitute,2024,High/Medium,Lean,Defender,71,75,56,67,73,67,59,3
2.2,26,183,74,USA,starting_xi,2024,High/High,Normal,Defender,71,81,48,62,66,68,81,3
2.2,25,191,84,Germany,substitute,2026,Medium/High,Normal,Defender,71,57,33,48,55,70,77,2
2,27,191,87,France,starting_xi,2024,Low/Medium,Normal,Defender,71,40,36,52,55,72,75,2
2.4,26,175,80,England,starting_xi,2026,High/High,Normal,Forward,71,78,71,57,72,29,68,3
2.1,26,175,68,England,starting_xi,2025,High/High,Normal,Defender,71,81,51,68,73,65,72,3
2.4,25,193,91,France,starting_xi,2026,Medium/Medium,Normal,Forward,71,77,68,59,70,30,79,3
2.1,26,185,77,Switzerland,substitute,2025,Medium/High,Lean,Midfield,71,73,65,65,69,70,72,2
2.1,26,174,75,Switzerland,substitute,2026,Medium/Medium,Normal,Defender,71,77,41,59,67,68,65,3
1.9,28,186,76,Germany,substitute,2025,Medium/Medium,Lean,Defender,71,71,53,62,68,71,73,3
2.2,25,182,71,Germany,substitute,2025,High/High,Lean,Defender,71,76,42,60,69,67,69,2
1.9,28,184,75,USA,starting_xi,2025,Medium/Medium,Normal,Defender,71,73,41,56,58,71,74,2
2.4,25,184,79,Germany,starting_xi,2024,Medium/High,Lean,Forward,71,88,69,66,69,39,76,3
2,27,187,85,Italy,substitute,2025,Medium/High,Normal,Defender,71,47,35,52,56,72,65,2
1.9,28,185,77,Italy,substitute,2025,Medium/Medium,Lean,Defender,71,61,61,66,62,71,75,2
1.9,28,185,84,Portugal,substitute,2024,Low/High,Normal,Defender,71,49,41,50,54,70,74,2
2.1,25,183,82,England,substitute,2026,High/Medium,Stocky,Midfield,71,72,61,66,68,66,77,3
2,27,190,85,Italy,substitute,2025,Medium/High,Normal,Defender,71,73,48,56,57,69,79,2
2.4,26,184,78,Spain,starting_xi,2028,High/Low,Normal,Forward,71,72,72,60,69,38,70,3
1.9,28,181,73,Spain,starting_xi,2024,High/Medium,Normal,Defender,71,60,36,49,51,71,68,2
1.8,28,187,80,England,substitute,2024,Medium/Medium,Lean,Midfield,71,55,61,66,71,69,72,3
2.2,26,168,60,Germany,starting_xi,2027,High/Medium,Normal,Midfield,71,83,69,70,74,48,58,3
1.9,27,191,80,England,starting_xi,2025,Medium/Medium,Normal,Defender,71,62,49,47,55,71,76,2
1.7,29,183,80,USA,substitute,2028,Medium/High,Normal,Defender,71,81,38,54,62,71,79,2
1.7,29,194,81,France,starting_xi,2026,Low/High,Lean,Defender,71,38,33,53,55,72,68,2
1.9,27,188,76,Italy,starting_xi,2027,Medium/Medium,Lean,Defender,71,67,30,52,54,73,72,2
2.2,26,167,66,England,starting_xi,2024,High/Low,Lean,Midfield,71,78,65,66,77,28,40,4
2,26,185,73,Italy,substitute,2026,High/Medium,Lean,Defender,71,72,68,70,70,67,68,3
1.8,28,188,80,Spain,substitute,2026,Medium/Medium,Lean,Midfield,71,51,57,69,65,68,73,2
2.1,27,181,74,Switzerland,substitute,2024,Medium/Medium,Lean,Midfield,71,76,61,71,72,63,67,3
2.2,26,168,69,England,starting_xi,2024,High/Low,Lean,Midfield,71,82,69,65,73,42,57,3
2.2,27,190,86,Germany,substitute,2025,Medium/Medium,Normal,Forward,71,73,69,54,63,25,75,3
2.1,27,187,79,France,starting_xi,2026,Medium/Medium,Lean,Midfield,71,62,61,72,69,66,73,3
2.1,27,178,72,Spain,starting_xi,2026,High/Medium,Normal,Midfield,71,64,63,73,70,60,71,3
2,27,184,81,Germany,starting_xi,2027,Medium/Medium,Lean,Defender,71,74,39,57,63,69,75,2
2.2,26,180,78,Italy,substitute,2026,Medium/Medium,Lean,Midfield,71,67,69,73,72,57,67,3
2.2,26,174,68,Spain,starting_xi,2026,High/Medium,Normal,Midfield,71,88,65,63,75,40,66,3
2,27,183,79,USA,substitute,2024,High/Medium,Normal,Defender,71,77,58,61,65,68,73,2
2.2,27,192,89,France,starting_xi,2026,Medium/Medium,Normal,Forward,71,74,73,54,66,32,74,2
2.2,27,173,65,Germany,starting_xi,2024,Medium/Low,Normal,Midfield,71,72,67,69,74,67,57,3
2.2,26,184,77,Spain,substitute,2026,Medium/Medium,Lean,Midfield,71,74,65,67,73,32,52,3
2.1,27,180,73,Spain,starting_xi,2026,Medium/Medium,Normal,Midfield,71,63,61,69,73,58,70,3
2,26,175,62,Portugal,starting_xi,2025,Medium/Medium,Lean,Defender,71,85,52,60,70,64,48,3
1.7,29,184,78,Spain,substitute,2026,Medium/Medium,Normal,Defender,71,65,29,46,42,70,68,2
2.2,26,176,66,France,substitute,2026,High/Medium,Normal,Midfield,71,82,65,63,78,37,56,3
0.325,37,187,81,Portugal,starting_xi,2024,Low/High,Normal,Defender,71,54,51,57,56,73,75,2
0.375,38,181,71,Spain,substitute,2024,Medium/High,Normal,Midfield,71,52,64,69,69,68,72,2
0.325,37,185,85,Italy,starting_xi,2024,Medium/High,Normal,Defender,71,32,37,55,56,73,69,2
1.2,33,180,77,Italy,bench,2024,Medium/Medium,Normal,Midfield,71,57,69,76,73,59,65,3
0.425,36,181,76,Italy,substitute,2024,Medium/High,Normal,Defender,71,64,63,72,71,67,64,4
0.325,36,185,85,England,starting_xi,2024,Medium/High,Normal,Defender,71,32,37,49,51,71,79,2
0.325,36,183,88,Spain,starting_xi,2024,Medium/Medium,Stocky,Defender,71,39,48,59,50,70,84,2
0.6,34,183,87,England,substitute,2024,Medium/High,Normal,Defender,71,51,40,68,68,72,69,3
0.525,35,184,75,Spain,starting_xi,2024,Medium/Medium,Lean,Midfield,71,41,59,69,67,70,72,3
0.325,36,195,85,Italy,substitute,2024,Low/Medium,Normal,Defender,71,32,40,53,52,72,67,2
0.65,34,183,80,Switzerland,starting_xi,2024,Medium/High,Normal,Midfield,71,49,69,70,67,70,69,3
1.2,33,185,84,England,starting_xi,2025,High/High,Normal,Forward,71,48,72,69,69,47,79,3
1.5,32,176,72,Germany,substitute,2024,High/Medium,Normal,Midfield,71,59,64,74,73,61,68,3
1.2,32,190,85,Portugal,starting_xi,2024,Medium/High,Normal,Defender,71,36,27,52,52,71,76,2
0.325,36,183,83,Portugal,starting_xi,2024,High/Medium,Normal,Defender,71,76,49,65,67,70,77,3
1.5,31,170,72,England,bench,2024,Medium/High,Stocky,Midfield,71,62,69,73,73,66,71,3
1.2,33,177,78,Spain,starting_xi,2024,High/Medium,Normal,Midfield,71,72,70,66,71,43,70,3
1.2,32,187,84,Italy,substitute,2025,Low/High,Normal,Defender,71,59,50,51,59,71,73,2
0.9,33,177,76,Germany,bench,2024,Low/Medium,Normal,Defender,71,49,41,62,64,73,66,2
1.5,32,180,79,Spain,substitute,2025,Medium/Low,Lean,Midfield,71,87,69,61,71,33,72,4
0.6,36,178,73,USA,starting_xi,2026,High/High,Normal,Midfield,71,60,65,69,71,65,72,3
0.525,35,182,78,Italy,substitute,2025,Medium/High,Normal,Midfield,71,57,64,70,70,70,71,3
1.2,33,183,74,Portugal,starting_xi,2025,High/Medium,Normal,Midfield,71,65,66,75,69,65,68,3
1.2,32,190,80,Spain,substitute,2024,Low/High,Normal,Defender,71,51,37,55,48,70,77,2
1.2,33,198,94,Italy,starting_xi,2025,Low/Low,Normal,Forward,71,40,71,55,61,32,83,2
1.5,31,185,79,Netherlands,substitute,2024,Medium/High,Normal,Midfield,71,53,67,73,73,65,66,3
1.2,32,188,80,England,starting_xi,2024,Low/Medium,Normal,Defender,71,46,29,50,53,72,77,2
1.6,31,178,76,England,substitute,2024,High/Medium,Normal,Midfield,71,81,72,65,71,45,73,3
1.2,33,181,77,Spain,substitute,2025,High/High,Normal,Forward,71,51,72,65,69,42,77,3
1.8,30,180,73,Netherlands,substitute,2024,Medium/Medium,Normal,Midfield,71,58,67,75,76,57,60,4
1.6,30,183,80,England,substitute,2025,Medium/Medium,Normal,Defender,71,68,48,65,62,68,76,2
0.875,34,182,80,Saudi Arabia,starting_xi,2024,Medium/Medium,Normal,Midfield,71,65,67,67,72,68,82,4
1.3,31,175,75,England,starting_xi,2024,Medium/High,Stocky,Midfield,71,51,60,63,67,66,78,2
1.5,32,179,71,Germany,substitute,2024,Medium/Medium,Lean,Midfield,71,71,72,70,72,34,59,3
1.5,32,179,71,France,starting_xi,2025,High/Medium,Normal,Midfield,71,61,70,73,72,42,58,4
1.5,32,179,84,Germany,starting_xi,2024,Medium/Medium,Normal,Forward,71,61,71,55,68,33,67,3
1.2,33,182,75,Italy,substitute,2025,High/Medium,Normal,Forward,71,59,73,53,68,35,70,3
0.875,34,184,77,Germany,substitute,2025,Medium/Medium,Normal,Midfield,71,61,73,76,72,55,68,3
1.2,33,185,79,Spain,bench,2024,Medium/Medium,Normal,Midfield,71,69,72,69,71,40,68,3
1.3,31,192,84,Germany,starting_xi,2024,High/Medium,Normal,Defender,71,53,57,64,60,72,71,2
1.5,30,190,84,Germany,starting_xi,2025,Medium/Medium,Normal,Defender,71,51,38,54,56,71,72,2
1.6,30,188,82,England,substitute,2024,High/Medium,Normal,Defender,71,78,59,66,70,66,77,3
1.6,30,175,67,England,starting_xi,2024,High/Medium,Normal,Defender,71,75,47,63,69,66,72,3
1.6,31,176,69,Italy,starting_xi,2024,Medium/Medium,Lean,Midfield,71,76,67,71,73,51,58,3
0.9,33,183,75,Italy,bench,2024,Low/High,Normal,Defender,71,50,31,43,58,74,62,2
1.8,30,188,78,England,starting_xi,2025,High/High,Lean,Forward,71,67,70,64,70,47,73,3
1.8,30,172,76,England,substitute,2025,High/Medium,Stocky,Midfield,71,86,65,62,75,34,76,4
1.8,30,179,79,Germany,starting_xi,2025,Medium/Medium,Normal,Midfield,71,77,66,65,73,39,66,3
1.8,29,176,73,England,substitute,2026,High/Medium,Normal,Midfield,71,71,63,71,73,64,66,3
1.8,29,192,80,England,substitute,2025,High/Medium,Normal,Midfield,71,65,67,64,68,68,82,2
1.8,30,181,81,Spain,substitute,2024,Medium/Medium,Normal,Forward,71,63,73,60,71,29,66,3
1.6,30,183,73,England,starting_xi,2025,Medium/Medium,Lean,Defender,71,68,46,64,67,68,69,3
1.4,31,186,84,England,substitute,2025,Medium/Medium,Normal,Defender,71,67,46,66,65,68,72,3
1.4,31,178,71,Germany,substitute,2024,High/Medium,Lean,Defender,71,70,69,72,74,66,66,3
1.6,31,187,81,Netherlands,starting_xi,2024,Medium/Low,Normal,Forward,71,76,71,70,70,61,76,3
1.3,31,185,78,England,substitute,2025,High/Medium,Normal,Defender,71,68,65,66,67,70,77,3
1.8,29,181,76,Italy,starting_xi,2024,Medium/Medium,Normal,Midfield,71,54,69,73,73,54,56,3
1.5,30,189,81,Italy,starting_xi,2025,Medium/High,Normal,Defender,71,57,35,56,58,72,73,2
1.5,31,182,75,Italy,substitute,2024,High/Medium,Lean,Midfield,71,64,71,75,74,64,61,4
1.3,31,196,87,Saudi Arabia,starting_xi,2024,Medium/Medium,Normal,Defender,71,66,37,50,40,73,82,2
1.6,30,175,78,Spain,substitute,2025,High/Medium,Normal,Defender,71,83,64,64,70,63,80,3
1.8,27,183,71,England,bench,2025,High/Medium,Lean,Defender,71,73,52,63,65,66,70,3
1.6,29,188,89,Germany,substitute,2024,Medium/Medium,Stocky,Defender,71,54,37,60,58,71,77,2
1.6,30,188,75,Italy,substitute,2025,Medium/Medium,Normal,Defender,71,67,41,61,62,71,76,2
1.7,28,177,69,USA,substitute,2025,High/Medium,Normal,Defender,71,62,57,69,68,68,70,3
1.6,29,180,76,England,starting_xi,2025,High/Medium,Normal,Defender,71,77,50,60,67,69,71,3
1.8,29,175,74,England,substitute,2024,Medium/High,Stocky,Midfield,71,79,63,66,73,69,82,3
1.9,29,180,78,Saudi Arabia,starting_xi,2025,Medium/Low,Normal,Forward,71,74,70,70,74,39,65,4
1.5,30,188,75,England,substitute,2025,Medium/Medium,Normal,Defender,71,58,29,55,60,72,79,2
1.6,29,176,68,Italy,substitute,2026,Medium/Medium,Normal,Midfield,71,71,66,70,70,63,68,3
1.6,29,183,72,England,starting_xi,2024,Medium/Medium,Lean,Defender,71,71,57,64,69,70,66,3
1.8,30,181,73,France,substitute,2025,High/High,Stocky,Forward,71,66,74,68,71,64,84,3
0.6,34,191,83,Netherlands,starting_xi,2024,Low/Medium,Normal,Defender,71,60,43,52,57,71,73,2
0.6,36,181,73,France,starting_xi,2024,Medium/Medium,Lean,Midfield,71,55,71,73,71,67,65,3
1.9,28,174,70,Switzerland,starting_xi,2024,Medium/Low,Normal,Forward,71,79,69,69,72,40,61,3
1.8,30,179,80,Switzerland,substitute,2024,High/Medium,Normal,Forward,71,71,66,70,74,36,60,4
1.4,31,171,64,Saudi Arabia,starting_xi,2025,High/Medium,Lean,Defender,71,79,54,65,71,67,62,3
1.9,28,181,74,Italy,substitute,2027,High/Medium,Normal,Forward,71,87,67,70,68,43,68,3
1.7,28,176,75,England,substitute,2024,High/Medium,Normal,Defender,71,71,65,70,72,64,61,3
0.575,35,178,76,USA,starting_xi,2024,High/Medium,Normal,Defender,71,69,68,70,73,68,65,3
1.9,28,182,72,England,substitute,2024,High/Medium,Lean,Midfield,71,66,71,72,71,66,71,3
0.9,34,184,80,Portugal,starting_xi,2024,Medium/Low,Normal,Forward,71,66,70,54,65,27,72,2
1.7,28,183,79,Germany,starting_xi,2025,High/Medium,Normal,Defender,71,62,62,70,70,68,69,3
0.75,35,176,74,Germany,starting_xi,2024,Medium/High,Normal,Midfield,71,65,64,70,70,68,77,3
2,27,174,68,England,substitute,2026,Low/High,Normal,Midfield,71,62,64,68,71,71,73,3
1.9,28,175,71,Switzerland,substitute,2024,Medium/Medium,Lean,Forward,71,76,73,61,73,32,68,4
1.6,29,191,87,USA,starting_xi,2025,Medium/Medium,Normal,Defender,71,47,45,54,53,70,81,2
2,27,183,74,Germany,starting_xi,2028,High/Medium,Normal,Midfield,71,70,66,65,72,65,74,3
1.6,29,187,77,Switzerland,starting_xi,2024,Medium/Medium,Normal,Defender,71,69,48,56,60,72,75,2
1.6,28,171,79,USA,starting_xi,2025,Low/High,Stocky,Midfield,71,59,29,58,59,69,78,2
1.6,29,191,92,Switzerland,starting_xi,2026,Low/Medium,Normal,Defender,71,58,32,44,43,72,77,2
1.8,30,177,69,Portugal,starting_xi,2024,Medium/Medium,Normal,Midfield,71,67,71,67,71,66,69,3
1.9,28,177,71,England,substitute,2024,Medium/Medium,Stocky,Midfield,71,56,69,73,68,63,72,3
0.6,34,185,78,Spain,starting_xi,2024,Low/Medium,Normal,Defender,71,65,46,52,54,71,72,2
0.925,33,183,82,USA,starting_xi,2028,Medium/Medium,Normal,Midfield,71,43,55,65,65,64,75,3
1.8,29,183,77,Spain,starting_xi,2024,High/Medium,Lean,Midfield,71,54,71,71,70,68,69,3
1.9,28,191,67,Saudi Arabia,starting_xi,2025,Medium/Medium,Lean,Midfield,71,75,68,70,71,67,74,3
1.8,30,174,65,Italy,starting_xi,2024,High/Medium,Lean,Midfield,71,82,64,69,76,33,62,4
2,27,177,68,Italy,starting_xi,2025,High/High,Normal,Forward,71,75,67,65,73,52,62,3
1.6,31,184,87,Italy,bench,2025,Medium/Medium,Normal,Forward,71,73,70,55,68,28,74,4
1.6,29,174,72,USA,substitute,2025,High/Medium,Normal,Defender,71,75,57,69,73,65,69,3
1.3,32,185,82,USA,substitute,2028,High/High,Normal,Defender,71,49,63,66,69,70,79,3
1.9,29,192,82,Switzerland,substitute,2025,Medium/Low,Lean,Forward,71,67,69,61,63,29,71,2
1.9,28,183,88,Switzerland,starting_xi,2025,High/High,Stocky,Forward,71,64,69,61,65,35,84,2
1.9,28,175,71,USA,starting_xi,2024,Medium/Medium,Normal,Midfield,71,77,68,73,74,50,52,3
1.6,29,186,80,England,starting_xi,2026,Medium/High,Lean,Midfield,71,62,56,63,67,71,74,3
1.4,31,180,64,Switzerland,bench,2025,Medium/Medium,Lean,Defender,71,85,65,69,68,62,61,3
1.5,30,188,79,USA,starting_xi,2024,High/High,Normal,Defender,71,78,39,54,60,68,82,2
1.8,30,179,68,Italy,bench,2024,High/Medium,Normal,Midfield,71,74,71,67,70,44,56,3
1.3,32,176,76,Switzerland,starting_xi,2024,Medium/High,Normal,Defender,71,80,33,63,69,62,78,3
1.9,28,180,65,Saudi Arabia,starting_xi,2025,High/Low,Lean,Midfield,71,75,70,71,74,62,68,4
1.6,31,179,78,Spain,substitute,2024,High/Medium,Normal,Midfield,71,78,67,71,71,52,69,3
1.8,30,191,85,Italy,starting_xi,2025,Medium/Medium,Lean,Forward,71,77,66,61,68,47,81,3
1.6,29,188,79,Italy,substitute,2024,Medium/High,Lean,Defender,71,53,33,49,55,72,73,2
1.9,28,187,75,Germany,bench,2025,Medium/Low,Normal,Forward,71,53,77,59,68,24,71,3
1.8,27,183,75,England,starting_xi,2025,Medium/Medium,Normal,Defender,71,74,36,60,69,68,71,3
1.8,30,181,69,Germany,substitute,2024,High/Medium,Lean,Midfield,71,77,69,68,69,35,61,4
1.6,29,188,81,Italy,starting_xi,2024,Medium/Medium,Normal,Defender,71,54,19,42,53,73,72,2
1.3,31,188,85,Saudi Arabia,starting_xi,2024,Low/High,Normal,Defender,71,37,30,51,50,70,82,2
1.8,29,165,64,Spain,starting_xi,2024,High/High,Normal,Midfield,71,89,66,66,71,63,59,3
1.9,28,186,75,France,starting_xi,2026,High/Medium,Lean,Midfield,71,59,65,72,71,61,78,3
1.9,29,184,84,Spain,substitute,2024,Medium/Medium,Normal,Forward,71,77,70,62,70,37,72,3
1.9,28,178,75,England,starting_xi,2024,Medium/Medium,Normal,Midfield,71,76,65,72,74,61,66,4
1.7,28,189,78,Italy,substitute,2026,High/Medium,Normal,Defender,71,88,57,62,69,65,76,3
1.9,28,174,70,Spain,substitute,2025,High/High,Normal,Midfield,71,78,65,67,72,67,68,3
2,27,183,72,Italy,bench,2024,High/Medium,Lean,Forward,71,71,63,67,75,67,63,3
2,27,184,78,France,substitute,2025,Medium/High,Normal,Midfield,71,79,66,67,72,56,58,3
1.6,30,180,73,Portugal,substitute,2025,Medium/Medium,Normal,Defender,71,83,50,64,69,66,73,3
2,26,181,79,Germany,substitute,2024,Medium/Medium,Normal,Midfield,71,85,68,60,73,45,55,3
2,27,190,76,Portugal,starting_xi,2024,Medium/Medium,Lean,Forward,71,62,70,54,68,32,75,3
1.8,29,177,75,Spain,starting_xi,2026,High/Medium,Normal,Midfield,71,91,53,59,76,61,70,3
0.9,33,181,77,Saudi Arabia,starting_xi,2024,Medium/High,Normal,Defender,71,47,38,43,45,70,84,2
1.7,27,189,80,Italy,substitute,2026,Medium/Medium,Normal,Defender,71,59,54,58,55,71,75,2
1.9,23,172,76,Italy,starting_xi,2026,Medium/High,Stocky,Midfield,71,66,55,59,66,72,70,2
2,23,174,71,Italy,substitute,2026,Medium/Medium,Normal,Defender,71,71,38,62,65,68,68,2
2,27,172,69,Italy,starting_xi,2026,High/Medium,Normal,Midfield,71,72,68,69,73,46,72,3
1.6,31,175,69,Italy,starting_xi,2026,Medium/Low,Lean,Midfield,71,82,63,71,73,38,54,3
1.6,31,176,75,Italy,starting_xi,2026,Medium/Medium,Normal,Midfield,71,66,61,70,73,39,54,3
1.6,31,182,71,Italy,substitute,2026,High/Low,Lean,Forward,71,82,67,62,72,25,64,3
0.5,35,190,84,Italy,starting_xi,2026,Medium/Medium,Normal,Defender,71,63,50,62,61,71,78,2
2,23,176,69,Italy,substitute,2026,High/Medium,Lean,Defender,71,77,57,68,64,68,59,2
2,23,174,78,Italy,starting_xi,2026,Medium/Medium,Normal,Defender,71,69,56,66,74,68,70,3
0.75,35,168,72,Italy,starting_xi,2026,High/High,Normal,Midfield,71,57,69,73,70,64,66,2
1.8,27,185,81,Italy,substitute,2026,Medium/Medium,Normal,Defender,71,75,44,68,59,68,76,2
1.4,31,179,74,Italy,starting_xi,2026,Medium/Medium,Lean,Defender,71,72,52,66,66,69,63,2
1.3,31,188,88,Italy,substitute,2026,Medium/Medium,Normal,Defender,71,40,43,43,49,70,72,2
1.9,23,194,85,Italy,starting_xi,2026,Medium/Medium,Lean,Defender,71,75,35,42,41,72,72,2
1.9,23,180,77,Italy,starting_xi,2026,Medium/Medium,Normal,Defender,71,62,46,57,57,72,68,2
1.9,23,188,85,Italy,substitute,2026,Medium/Medium,Normal,Defender,71,61,52,53,49,71,74,2
2,27,167,66,Italy,substitute,2026,Medium/Medium,Normal,Forward,71,73,66,69,73,58,75,3
1.6,31,174,74,Italy,starting_xi,2026,High/High,Normal,Forward,71,77,71,66,75,43,63,3
2.2,23,174,73,Italy,starting_xi,2026,High/Medium,Normal,Midfield,71,69,63,73,72,37,55,3
2.2,23,184,78,Italy,starting_xi,2026,Medium/Medium,Normal,Midfield,71,56,62,68,75,36,61,4
2,27,176,73,Italy,substitute,2026,High/Medium,Normal,Midfield,71,62,65,74,75,24,60,4
2,27,175,73,Italy,substitute,2026,Medium/Medium,Normal,Forward,71,71,72,68,73,28,62,3
2.2,23,193,96,Italy,starting_xi,2026,Medium/Low,Stocky,Forward,71,38,77,51,62,27,73,3
0.8,35,180,71,Italy,substitute,2026,High/Low,Lean,Forward,71,82,63,60,73,25,63,3
1.6,30,178,76,Saudi Arabia,starting_xi,2025,High/High,Normal,Midfield,71,58,61,67,68,68,72,3
1.8,29,173,70,Switzerland,substitute,2026,High/High,Stocky,Midfield,71,74,70,68,74,60,75,3
1.6,31,186,81,Germany,starting_xi,2025,High/Medium,Normal,Forward,71,80,67,60,68,29,76,3
2,27,169,63,France,starting_xi,2026,Medium/Medium,Normal,Midfield,71,80,67,66,73,37,62,3
1.9,26,170,68,USA,starting_xi,2026,Medium/High,Normal,Defender,71,77,47,60,65,69,72,3
1.6,29,176,70,Germany,substitute,2025,High/Medium,Lean,Defender,71,82,59,60,68,63,71,2
1.6,29,178,73,France,starting_xi,2025,High/Medium,Lean,Defender,71,81,61,64,71,63,75,3
1.9,28,170,73,Germany,starting_xi,2026,High/Medium,Lean,Forward,71,71,68,68,76,39,52,3
1.6,30,185,74,Spain,starting_xi,2024,Low/High,Normal,Midfield,71,52,50,59,53,71,75,2
2.2,23,181,78,Italy,substitute,2026,Medium/Medium,Normal,Forward,71,72,72,60,67,32,69,3
1.7,28,172,73,Saudi Arabia,starting_xi,2024,High/Medium,Stocky,Defender,71,76,57,68,72,66,71,3
1.6,31,191,78,Italy,substitute,2024,High/Low,Normal,Forward,71,82,69,55,68,27,72,3
2,27,180,73,Italy,bench,2026,High/High,Lean,Midfield,71,69,68,70,75,66,69,3
2,27,183,70,Spain,substitute,2026,High/Medium,Lean,Forward,71,79,69,62,70,27,69,3
1.9,28,188,70,Spain,starting_xi,2025,Medium/Medium,Lean,Midfield,71,66,70,64,71,31,60,3
2,27,175,60,Switzerland,substitute,2025,High/Low,Lean,Forward,71,87,64,61,75,24,47,3
1.6,29,175,80,USA,substitute,2024,High/High,Normal,Midfield,71,82,68,69,68,66,82,3
1.3,31,186,80,Saudi Arabia,bench,2024,Low/Medium,Normal,Defender,71,59,39,45,53,72,76,2
1.6,29,174,70,USA,starting_xi,2024,Medium/High,Normal,Midfield,71,62,58,68,64,68,75,2
2,27,184,76,Spain,starting_xi,2024,Medium/Medium,Lean,Midfield,71,62,71,71,72,38,58,4
1.9,28,184,80,Spain,substitute,2025,Medium/Low,Normal,Midfield,71,76,71,64,73,38,63,3
1.8,29,177,74,France,substitute,2024,Medium/Low,Normal,Midfield,71,84,61,65,73,40,61,4
1.6,31,177,73,Germany,starting_xi,2024,High/Medium,Normal,Midfield,71,86,71,57,77,38,72,3
1.7,28,173,73,Spain,starting_xi,2024,High/Medium,Normal,Defender,71,72,43,60,63,67,71,3
1.6,29,178,77,Spain,starting_xi,2027,High/Medium,Normal,Defender,71,81,42,57,67,66,78,3
1.6,30,180,72,Spain,starting_xi,2024,Medium/Medium,Normal,Defender,71,75,36,60,62,70,75,2
1.8,27,175,72,Portugal,starting_xi,2024,High/Medium,Normal,Defender,71,68,55,64,67,69,62,3
1.6,29,177,73,France,starting_xi,2026,High/Medium,Normal,Defender,71,89,60,66,71,62,75,3
1.8,30,185,74,Saudi Arabia,starting_xi,2024,High/High,Lean,Midfield,71,74,66,67,72,60,73,3
1.6,30,183,77,Switzerland,substitute,2024,High/Medium,Normal,Defender,71,80,50,67,70,66,69,2
4.1,19,169,58,Netherlands,substitute,2028,High/Medium,Normal,Forward,70,86,68,61,70,35,55,3
3.8,19,182,68,Netherlands,starting_xi,2024,Medium/Medium,Normal,Midfield,70,73,59,64,76,64,69,4
3.8,20,173,63,Spain,substitute,2024,Medium/Medium,Lean,Midfield,70,71,60,73,69,45,53,4
3.6,20,188,80,France,starting_xi,2028,Low/Medium,Lean,Defender,70,70,30,54,69,67,77,2
3.6,20,191,77,Netherlands,starting_xi,2028,Medium/Medium,Lean,Midfield,70,55,43,65,69,65,69,2
3.6,19,185,75,Italy,substitute,2028,Medium/Medium,Lean,Midfield,70,65,60,70,68,66,67,3
3.8,19,176,64,England,bench,2024,High/Medium,Normal,Midfield,70,75,56,66,73,62,68,3
3.5,19,183,80,France,starting_xi,2026,Medium/Medium,Normal,Defender,70,61,28,52,59,71,68,2
3.7,21,191,80,Italy,starting_xi,2027,Medium/High,Lean,Defender,70,74,37,47,58,71,73,2
3.9,20,180,73,France,starting_xi,2028,High/High,Lean,Forward,70,76,65,67,74,58,69,3
3.7,21,186,83,Portugal,substitute,2028,Medium/Medium,Normal,Defender,70,71,29,41,52,70,74,2
3.8,20,187,77,Spain,substitute,2027,High/Medium,Lean,Midfield,70,57,61,68,69,68,59,3
3.7,21,180,75,Germany,substitute,2024,Low/Medium,Normal,Defender,70,84,32,54,52,70,77,2
3.9,21,178,70,England,starting_xi,2027,High/High,Lean,Midfield,70,69,56,69,69,62,72,3
3.8,19,174,64,England,substitute,2026,High/Medium,Normal,Midfield,70,76,70,64,74,32,48,3
3.7,21,178,65,England,starting_xi,2026,High/High,Lean,Midfield,70,73,62,66,69,66,74,2
3.6,20,206,98,France,bench,2028,Medium/Medium,Normal,Defender,70,66,30,50,55,67,83,2
3.8,20,178,65,Switzerland,starting_xi,2027,High/Medium,Lean,Midfield,70,75,61,68,76,37,54,4
3.8,20,182,70,USA,substitute,2026,Medium/Medium,Lean,Forward,70,81,62,64,73,38,61,3
